GCF_000008485.1	ASM848v1	Legionella pneumophila subsp. pneumophila str. Philadelphia 1
GCF_000048645.1	ASM4864v1	Legionella pneumophila str. Paris
GCF_000048665.1	ASM4866v1	Legionella pneumophila str. Lens
GCF_000091785.1	ASM9178v1	Legionella longbeachae NSW150
GCF_000092545.1	ASM9254v1	Legionella pneumophila str. Corby
GCF_000092625.1	ASM9262v1	Legionella pneumophila 2300/99 Alcoy
GCF_000162755.2	ASM16275v2	Legionella drancourtii LLAP12
GCF_000176095.1	ASM17609v1	Legionella longbeachae D-4968
GCF_000211115.1	ASM21111v2	Legionella pneumophila 130b
GCF_000236145.1	ASM23614v1	Fluoribacter dumoffii Tex-KL
GCF_000236165.1	ASM23616v1	Fluoribacter dumoffii NY 23
GCF_000239175.1	ASM23917v1	Legionella pneumophila subsp. pneumophila ATCC 43290
GCF_000306845.1	ASM30684v1	Legionella pneumophila subsp. pneumophila
GCF_000306865.1	ASM30686v1	Legionella pneumophila subsp. pneumophila
GCF_000308315.1	ASM30831v1	Legionella tunisiensis
GCF_000333755.1	ASM33375v1	Legionella anisa str. Linanisette
GCF_000347615.1	ASM34761v1	Legionella pneumophila subsp. pneumophila LPE509
GCF_000373765.1	ASM37376v1	Legionella shakespearei DSM 23087
GCF_000404245.1	ASM40424v1	Legionella pneumophila subsp. pneumophila str. Thunder Bay
GCF_000423305.1	ASM42330v1	Legionella moravica DSM 19234
GCF_000455845.1	121004	Legionella pneumophila str. 121004
GCF_000465675.1	Leg01/11	Legionella pneumophila str. Leg01/11
GCF_000465695.1	Leg01/53	Legionella pneumophila str. Leg01/53
GCF_000465915.1	Leg01/20	Legionella pneumophila str. Leg01/20
GCF_000468235.1	Legionella pneumophila Leg01_16	Legionella pneumophila Leg01/16
GCF_000500125.1	W1046	Legionella pneumophila W1046
GCF_000512355.1	ASM51235v1	Legionella oakridgensis ATCC 33761 = DSM 21215
GCF_000512715.1	lor.0	Legionella oakridgensis RV-2-2007
GCF_000586075.1	ATCC_43736	Legionella pneumophila subsp. pneumophila
GCF_000586095.1	ATCC_43703	Legionella pneumophila subsp. pneumophila
GCF_000586115.1	ATCC_43290	Legionella pneumophila subsp. pneumophila
GCF_000586135.1	ATCC_43283	Legionella pneumophila subsp. pneumophila
GCF_000586155.1	ATCC_43130	Legionella pneumophila subsp. pneumophila
GCF_000586175.1	ATCC_35289	Legionella pneumophila subsp. pneumophila
GCF_000586195.1	ATCC_35251	Legionella pneumophila subsp. fraseri
GCF_000586215.1	ATCC_35096	Legionella pneumophila subsp. pneumophila
GCF_000586235.1	ATCC_33823	Legionella pneumophila subsp. pneumophila
GCF_000586255.1	ATCC_33737	Legionella pneumophila subsp. pascullei
GCF_000586275.1	ATCC_33216	Legionella pneumophila subsp. fraseri
GCF_000586295.1	ATCC_33215	Legionella pneumophila subsp. pneumophila ATCC 33215
GCF_000586315.1	ATCC_33156	Legionella pneumophila subsp. fraseri
GCF_000586335.1	ATCC_33155	Legionella pneumophila subsp. pneumophila
